"","Country.Name","Region","World.Rank","Region.Rank","X2019.Score","Property.Rights","Government.Integrity","Tax.Burden","Fiscal.Health","Business.Freedom","Labor.Freedom","Monetary.Freedom","Trade.Freedom","Investment.Freedom","Financial.Freedom","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Inflation....","Public.Debt....of.GDP."
"1","Hong Kong","Asia-Pacific",1,1,90.2,93.3,83.8,93.1,100,96.4,89.2,86.4,95,90,90,0,15,16.5,3.8,2.8,"$61,393 ",1.5,0.1
"2","Singapore","Asia-Pacific",2,2,89.4,97.4,95.1,90.4,80,90.8,91,85.3,94.8,85,80,0.1,22,17,3.6,3.5,"$93,906 ",0.6,110.9
"3","New Zealand","Asia-Pacific",3,3,84.4,95,96.7,71,98.6,91,86.7,87.5,92.4,80,80,1.3,33,28,3,3.3,"$38,934 ",1.9,26.4
"4","Switzerland","Europe",4,1,81.9,85.3,88,70.5,96.3,75.4,72.5,85.2,87.4,85,90,1.3,40,24,1.1,1.6,"$61,422 ",0.5,42.8
"5","Australia","Asia-Pacific",5,4,80.9,79.1,79.9,62.8,86.2,88.3,84.1,86.6,87.6,80,90,1.2,45,30,2.3,2.4,"$50,334 ",2,41.6
"6","Canada","Americas",8,1,77.7,87,84.6,76.8,83.1,81.9,73.7,77.2,86.8,80,80,1.6,33,15,3,2.1,"$48,265 ",1.6,89.7
"7","Taiwan ","Asia-Pacific",10,5,77.3,85.4,69.2,75,91.6,93.2,60.9,84.4,87,60,60,1.5,45,20,2.8,2.2,"$50,294 ",0.6,35.2
"8","Iceland","Europe",11,4,77.1,87.4,83.8,72.7,96.7,88.4,64.1,81.7,87,85,70,1.5,31.8,20,3.6,4.4,"$51,842 ",1.8,40.9
"9","United States","Americas",12,2,76.8,79.3,77.4,75.1,53.1,83.8,89.4,76.6,86.6,85,80,1.7,37,21,2.3,2.2,"$59,501 ",2.1,107.8
"10","Georgia","Europe",16,8,75.9,65.9,58.5,87.1,93.9,85.8,76.6,76,88.6,80,70,0.7,20,15,4.8,3.7,"$10,747 ",6,44.9
"11","Chile","Americas",18,3,75.4,68.7,62.3,77.3,89,76.6,65,84.5,88.8,85,70,0.6,35,25,1.5,2.2,"$24,537 ",2.2,23.6
"12","Mauritius","Sub-Saharan Africa",25,1,73,69.5,40.3,92.1,73.6,79.8,60.8,79.4,88.4,80,70,0.8,15,15,3.9,3.6,"$21,640 ",3.7,60.2
"13","Macau","Asia-Pacific",34,9,71,60,33.2,77.1,100,60,50,76.5,90,85,70,0,12,39,9.3,-0.6,"$111,629 ",1.2,0
"14","Botswana","Sub-Saharan Africa",36,3,69.5,58.1,52.4,82.7,94.6,68.7,68.2,78.8,83.8,65,70,0.6,25,22,2.2,4.1,"$17,828 ",3.3,15.6
"15","Peru","Americas",45,7,67.8,56.1,31.8,80.6,88.5,67.8,63.5,83.9,86.4,75,60,1.8,30,28,2.5,3.6,"$13,334 ",2.8,25.5
"16","Albania","Europe",52,27,66.5,54.8,40.4,86.3,80.6,69.3,52.7,81.5,87.8,70,70,1.1,23,15,3.9,2.5,"$12,507 ",2,71.2
"17","Costa Rica","Americas",61,11,65.3,58.3,54.5,79.2,42.5,67.2,55.2,83.2,81.4,70,50,1.8,25,30,3.2,3.4,"$16,877 ",1.6,49.1
"18","Brunei Darussalam","Asia-Pacific",63,14,65.1,64,43.7,90.7,20,80.2,90.8,76.5,84,65,50,0.5,0,18.5,0.5,-1.4,"$78,196 ",-0.1,2.7
"19","Guatemala","Americas",77,16,62.6,40.3,26.4,79.2,96.2,53.6,48.7,77,82.2,70,50,1.4,31,31,2.8,3.6,"$8,145 ",4.4,24.4
"20","Bosnia and Herzegovina","Europe",83,37,61.9,40.2,30.2,84.3,96.6,49.7,67,83.1,82.6,65,60,1.2,10,10,2.7,2.5,"$12,724 ",1.3,41
"21","El Salvador","Americas",84,17,61.8,37.6,23.4,78.1,81.9,57.2,53.1,79,81.4,75,60,1.8,30,30,2.4,2.1,"$8,948 ",1,59.3
"22","Oman","Middle East and North Africa",88,7,61,58.1,53.8,97.8,16.1,75.2,57.3,77.7,87,65,60,1.5,0,12,-0.3,2.7,"$45,157 ",1.6,44.2
"23","Namibia","Sub-Saharan Africa",99,10,58.7,55.9,49.8,66.5,15.7,65.8,85.1,74.4,83,65,40,1,37,34,-1.2,3.6,"$11,312 ",6.1,46.1
"24","Belarus","Europe",104,42,57.9,55.2,37.7,89.4,85.4,75,75.3,67,76.4,30,10,1.8,13,18,2.4,-0.3,"$18,931 ",6,51
"25","Laos","Asia-Pacific",110,24,57.4,38.8,33.5,86.9,66.5,60.1,60.1,78.5,81.8,35,20,1.6,24,24,6.8,7.4,"$7,366 ",0.8,62.8
"26","Eswatini","Sub-Saharan Africa",132,23,54.7,41.7,35,74.8,18.3,59.2,67.5,73.7,87.6,50,40,1.2,33,28,0.2,2,"$9,884 ",6.3,29.2
