"","Country.Name","Region","World.Rank","Region.Rank","X2019.Score","Property.Rights","Government.Integrity","Tax.Burden","Fiscal.Health","Business.Freedom","Labor.Freedom","Monetary.Freedom","Trade.Freedom","Investment.Freedom","Financial.Freedom","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Inflation....","Public.Debt....of.GDP."
"1","Switzerland","Europe",4,1,81.9,85.3,88,70.5,96.3,75.4,72.5,85.2,87.4,85,90,1.3,40,24,1.1,1.6,"$61,422 ",0.5,42.8
"2","Ireland","Europe",6,2,80.5,85.8,78,76.3,89,83.1,75.3,87,86,90,70,2,41,12.5,7.8,9.7,"$75,538 ",0.3,68.5
"3","United Kingdom","Europe",7,3,78.9,92.3,83.8,64.7,68.6,92.9,73.5,81.2,86,90,80,2,45,20,1.8,2.2,"$44,118 ",2.7,87
"4","Iceland","Europe",11,4,77.1,87.4,83.8,72.7,96.7,88.4,64.1,81.7,87,85,70,1.5,31.8,20,3.6,4.4,"$51,842 ",1.8,40.9
"5","Netherlands","Europe",13,5,76.8,88,89.1,51.6,93.3,81.4,60.3,84,86,90,80,2,52,25,3.1,1.8,"$53,635 ",1.3,56.7
"6","Denmark","Europe",14,6,76.7,86.2,85.8,42,96.7,90.7,86.4,84.1,86,90,80,2,56,23.5,2.1,1.6,"$49,883 ",1.1,36.4
"7","Estonia","Europe",15,7,76.6,81.5,73.1,79.9,99.8,75.3,57.2,79.6,86,90,70,2,20,20,4.9,2.7,"$31,750 ",3.7,8.8
"8","Georgia","Europe",16,8,75.9,65.9,58.5,87.1,93.9,85.8,76.6,76,88.6,80,70,0.7,20,15,4.8,3.7,"$10,747 ",6,44.9
"9","Luxembourg","Europe",17,9,75.9,83,85.8,65.4,98.9,68.8,45.9,82.6,86,95,80,2,42,18,3.5,3.8,"$106,374 ",2.1,23
"10","Sweden","Europe",19,10,75.2,89.5,88,43.2,96.6,88,53.9,82,86,85,80,2,57,22,2.4,2.8,"$51,475 ",1.9,40.9
"11","Finland","Europe",20,11,74.9,89.6,92.5,66.8,86.4,89.4,50.3,84.8,86,85,80,2,31.3,20,3,0.8,"$44,333 ",0.8,61.4
"12","Lithuania","Europe",21,12,74.2,73.6,47.8,86.4,97.3,75.2,63.6,84.6,86,80,70,2,15,15,3.8,3,"$32,299 ",3.7,36.5
"13","Czech Republic","Europe",23,13,73.7,74.8,52.1,82.6,97.6,72.4,78.1,81.5,86,80,80,2,15,19,4.3,2.9,"$35,512 ",2.4,34.7
"14","Germany","Europe",24,14,73.5,79.9,81.3,60.8,91.8,83.3,52.8,77.9,86,80,70,2,47.5,15.8,2.5,1.7,"$50,425 ",1.7,64.1
"15","Norway","Europe",26,15,73,86.1,92.3,57.4,97.3,89.4,53.7,75.4,83.2,75,60,3.4,47.8,23,1.8,1.6,"$71,831 ",1.9,36.7
"16","Austria","Europe",31,16,72,84.2,77.4,50.5,85.5,74.9,68.7,81.5,86,90,70,2,50,25,2.9,1.3,"$49,869 ",2.2,78.8
"17","Macedonia","Europe",33,17,71.1,65.1,44.7,91.8,82.9,80.2,71.5,78.7,82,65,60,4,10,10,0,2.7,"$14,914 ",1.4,39.3
"18","Latvia","Europe",35,18,70.4,67.3,35.5,77,96.9,77.5,73.3,81.1,86,85,60,2,31.4,20,4.5,2.8,"$27,644 ",2.9,34.8
"19","Bulgaria","Europe",37,19,69,62.5,35.1,90.2,98.8,62.7,68.4,88,86,70,60,2,10,10,3.6,2.7,"$21,687 ",1.2,23.9
"20","Malta","Europe",41,20,68.6,69.8,50.3,64.2,94.5,67.1,61.3,78.2,86,85,60,2,35,35,6.6,6.9,"$41,945 ",1.3,52.6
"21","Romania","Europe",42,21,68.6,66.7,39.8,89.7,89.3,63.1,64.5,82.7,86,70,50,2,10,16,7,4.5,"$24,508 ",1.3,36.9
"22","Cyprus","Europe",44,22,68.1,73.1,43.7,74.9,80.3,76.9,59.5,84,86,75,60,2,35,12.5,3.9,0.3,"$37,023 ",0.7,99.3
"23","Poland","Europe",46,23,67.8,62.3,49.8,74.9,86.4,65.4,63.9,82.1,86,80,70,2,32,19,4.6,3.2,"$29,521 ",2,51.4
"24","Armenia","Europe",47,24,67.7,57.2,38.6,84.7,53,78.3,71.4,77.8,80.8,75,70,2.1,26,20,7.5,3.6,"$9,456 ",0.9,53.5
"25","Belgium","Europe",48,25,67.3,81.3,72.5,47.1,73.4,78.1,61,76.1,86,85,70,2,50,29,1.7,1.2,"$46,553 ",2.2,103.2
"26","Kosovo","Europe",51,26,67,57.2,44.7,92.5,96,73.8,64.9,78.3,70.8,65,30,7.1,10,10,4.1,3.4,"$10,515 ",1.5,20.9
"27","Albania","Europe",52,27,66.5,54.8,40.4,86.3,80.6,69.3,52.7,81.5,87.8,70,70,1.1,23,15,3.9,2.5,"$12,507 ",2,71.2
"28","Spain","Europe",57,28,65.7,72.9,51.9,62.3,51.1,66.8,57.8,87.5,86,85,70,2,45,25,3.1,1.9,"$38,286 ",2,98.4
"29","Slovenia","Europe",58,29,65.5,76.4,53.6,58.4,82.6,79.3,61.2,83.6,86,70,50,2,50,17,5,2.5,"$34,407 ",1.4,75.4
"30","Portugal","Europe",62,30,65.3,71.5,59.5,59.9,69.8,79.7,44.3,83,86,70,60,2,48,23,2.7,1.2,"$30,417 ",1.6,125.6
"31","Hungary","Europe",64,31,65,60.9,35.3,78.6,85,61.1,64.7,81.8,86,80,70,2,15,19,4,3.2,"$29,474 ",2.4,69.9
"32","Slovakia","Europe",65,32,65,68.5,37.7,78.6,87.2,61.3,53.4,78.6,86,75,70,2,25,21,3.4,3,"$33,025 ",1.3,50.4
"33","Turkey","Europe",68,33,64.6,55.8,41.2,76.4,92.2,66,49.2,70,79.6,70,60,2.7,35,22,7,6,"$26,893 ",11.1,28.5
"34","Serbia","Europe",69,34,63.9,50.1,37.2,82,90.1,72.9,67.4,80,77,70,50,6.5,10,15,1.8,1.2,"$15,000 ",3.1,61.5
"35","France","Europe",71,35,63.8,82.5,67.9,48.4,64.9,81.2,45.2,79.1,81,75,70,2,45,33,1.8,1.1,"$43,761 ",1.2,97
